SMILES,SPLIT
COCCCCSc1nc2c(c(=O)[nH]1)CCC2,train
Cc1csc(=O)n1CC(=O)NCCc1ccccc1Cl,train
Cc1cccc(NC(=O)N(CCC#N)Cc2ccccn2)c1C,train
Cc1ccc(C2=CCN(C(=O)c3ccc[nH]c3=O)CC2)cc1,train
Cn1c(-c2cccc(N)c2)nc2ccc(F)c(F)c21,train
Cc1ncsc1CNC(=O)NC(CO)c1ccccc1,train
COc1cc(N2CCc3ncnc(-c4ccncc4)c3CC2)ncn1,train
Cc1ccc(-c2cc3c(=O)n(CC#N)ccn3n2)cc1,train
COCC(C)NC(=O)C(NC(=O)c1ccccc1)C(C)C,train
Cc1cc(C)cc(CCC(=O)N(C)Cc2cnn(C(C)C)c2)c1,train
CCOc1ccc2nc(C(=O)NCc3cc(F)cc(F)c3)cn2n1,train
CN(C)c1ccccc1NC(=O)C1CC1c1ccco1,train
O=C(NCCCN1CCOCC1)c1ccc(N2CCCCC2=O)cc1,train
CCCn1nnnc1Cn1c(C(F)(F)F)ccc(C(N)=O)c1=O,train
Cn1cc(C(=O)Nc2ccc(Cl)c(C(=O)NC3CC3)c2)ccc1=O,train
C#CCNC(=O)c1cc(-c2cccs2)nn1-c1ccccc1,train
O=C(Nc1cccnc1)c1cc(-c2cccnc2)[nH]n1,train
Cc1nc(C(=O)NCc2sccc2C)cs1,train
Cc1ccc(-c2cnc(CCC(=O)NC(C)c3cccnc3)o2)cc1C,train
CCOC(=O)C1CCCN(C(=O)c2cn[nH]c2C)C1,train
COc1cccc(S(=O)(=O)CC(=O)N(C)C2CC2)c1,train
C=CCNC(=O)Nc1cnn(C2CCOCC2)c1,train
CC(C)c1ncc(Cl)c(C(=O)NCCc2ccco2)n1,train
COc1ccc(-c2cc(CNC(=O)c3ccco3)no2)cc1,train
CCc1cccc(CC)c1NC(=O)Cn1ncc2ccccc2c1=O,train
O=C(CNc1ccc(-n2cncn2)cc1)NC1CCCCCC1,train
CC(N)C(=O)c1ccc(S(=O)(=O)C2CCCC2)cc1,train
Cc1ccccc1C(=O)NCC1CN(Cc2ccccc2)CCO1,train
CC(=O)N1CCN(S(=O)(=O)c2cccc(C#N)c2)CC1,train
O=C(CCn1cncn1)NCc1ncc(-c2ccccc2)o1,train
CCc1noc(CCCC(=O)Nc2c[nH]nc2C)n1,train
CCCCCCNC(=O)c1onc(-c2ccccc2)c1N,train
CS(=O)(=O)N1CCN(C(=O)Cn2ccc(C(F)(F)F)n2)CC1,train
COC(=O)CCN(C)S(=O)(=O)N1CCCC1,train
Cn1c2ccccc2n2c(=O)n(CC(=O)Nc3ccc(F)cc3)nc12,train
COc1cc(Cl)ccc1CNC(=O)N1CCCC(O)C1,train
Cc1ccc(NC(=O)C(C)OCC(F)(F)F)cc1S(C)(=O)=O,train
CCN(Cc1ccco1)C(=O)Nc1ccccc1SC,train
CNS(=O)(=O)c1cc(C(=O)C2CC2)ccc1OC,train
COc1ccc(-c2cc(C(=O)NCc3ccncc3)n[nH]2)cc1,train
COC(=O)CCC(=O)N1CCNC(=O)C1c1ccccc1,train
O=C(c1ccc(O)c(Cl)c1)N1CCN(Cc2ccccn2)CC1,train
O=C(NCCn1cccc1)c1ccc(OCC(F)F)nc1,train
O=C(Cn1cccn1)Nc1cccc2cccnc12,train
CC(C)C(=O)NC1CCN(C(=O)c2nc3c(F)cccc3s2)C1,train
O=C(NCCCOCC1CCCO1)c1cc(F)cc2[nH]cnc12,train
CCC(Cn1c(=O)oc2ccccc21)NC(=O)C1CCCC1,train
CC1CCc2sc3ncn4nc(-c5ccncc5)nc4c3c2C1,train
CS(=O)(=O)N1CCN(CCc2ccccn2)CC1,train
COC(=O)c1n[nH]c2ccc(NC(=O)c3cccc(C)n3)cc12,train
COC(C(=O)NCCNC(=O)c1ccc(O)cc1)c1ccccc1,train
Cc1ccc(S(=O)(=O)Nc2cccc(-c3csc(C)n3)c2)cc1,train
C=CCn1nc2c(C)c(C)nc(-c3cccnc3)n2c1=O,train
O=C(NCc1nc(Cc2ccccc2)no1)c1ccc[nH]c1=O,train
Cc1cc(C)c(C(=O)CCCC(=O)NCC2CCCO2)c(C)c1,train
Nc1nccnc1C(=O)Nc1ccc(Cl)cc1C(=O)NCC1CC1,train
Cc1ccc(-c2nc(CNc3ccc4nnc(C)n4n3)co2)cc1,train
O=C(C1CCCN1c1nc2ccccc2o1)N1CCc2ccccc21,train
CN(C)S(=O)(=O)NCc1ccc(Cn2ccnc2)cc1,train
COCC(=O)NCCc1c[nH]c2ccc(OC)cc12,train
COc1cc(-c2cscc2N)cc(OC)c1OC,train
CC(C)N(C)C(=O)c1cc(-c2ccc3c(c2)OCO3)on1,train
Cc1csc(NC(=O)N2CCC(c3nc4ccccc4o3)CC2)n1,train
COC(=O)CN(C(=O)CSc1ccc(C#N)cc1)C1CCOCC1,train
CC(C)COc1ccccc1-c1cc(N)c(=O)n(C)n1,train
CCc1ccc(NC(=O)NCc2c(C)nn(CC)c2C)cc1,train
Cc1ccc(OC2CCN(C(=O)Cn3cccn3)CC2)nn1,train
O=C(c1ccc(NC2CC2)nc1)N(CC1CCCCC1)C1CC1,train
CCCOC(=O)c1cc(N)c(N(C)C)c(Cl)c1,train
CCOC(=O)Cc1csc(N2CCOCC2)n1,train
CC(C)(C(=O)N1CCN(C(=O)C2CCC(=O)N2)CC1)c1ccccc1,train
COCc1nc(-c2cc(OC)ccc2OC)sc1C(C)=O,train
O=C(NCC1CC12CCc1ccccc12)c1ccc[nH]1,train
Cc1nn(C)c2nc(N3CCNC(=O)C3C(C)C)sc12,train
O=C(Nc1ccc2c(c1)OCO2)Nc1c[nH]c2ccccc12,train
CCCNC(=O)Nc1ccnn1Cc1ccc(Br)cc1,train
COc1ccc(Br)c2c1CCNC2CC#N,train
O=C(CNC(=O)c1ccccc1F)OCC(=O)C1=NC=CC1,train
COCCOCCNC(=O)c1cccc(Br)c1,train
COc1ccc(CN(C)C(=O)c2cccc(OC)c2F)cc1C,train
Nc1cc(C(=O)NCc2ccccn2)n(C2CC2)c1,train
Cc1csc(NC(=O)N(C)Cc2nc3ccccc3s2)n1,train
Cc1noc(C)c1-c1nc(CSc2ccccn2)no1,train
CCC(C)n1c(C(C)C)ccc(-c2csc(NC)n2)c1=O,train
Cc1cnc2c(S(=O)(=O)Oc3ccccc3C#N)cccc2c1,train
Cn1ccc(C(=O)N2CCOC(c3ccc(C(N)=O)cn3)C2)n1,train
COC(=O)c1cccc(C(=O)Nc2ccc(-c3nncn3C)cc2)c1,train
CC(C)(C)CC(=O)NCC(=O)N1CCc2ccc(Cl)cc2C1,train
